Name,Patch,Ran,Time_since_ran,Total_runs,Patches_since_debut,Run_frequency,Is_archon,Is_chronicle,Element,Weapon
Venti,1.0,1,0,1,1,0,1,0,Anemo,Bow
Venti,1.1,0,1,1,2,1.0,1,0,Anemo,Bow
Venti,1.2,0,2,1,3,1.0,1,0,Anemo,Bow
Venti,1.3,0,3,1,4,1.0,1,0,Anemo,Bow
Venti,1.4,1,0,2,5,1.0,1,0,Anemo,Bow
Venti,1.5,0,1,2,6,0.4,1,0,Anemo,Bow
Venti,1.6,0,2,2,7,0.4,1,0,Anemo,Bow
Venti,2.0,0,3,2,8,0.4,1,0,Anemo,Bow
Venti,2.1,0,4,2,9,0.4,1,0,Anemo,Bow
Venti,2.2,0,5,2,10,0.4,1,0,Anemo,Bow
Venti,2.3,0,6,2,11,0.4,1,0,Anemo,Bow
Venti,2.4,0,7,2,12,0.4,1,0,Anemo,Bow
Venti,2.5,0,8,2,13,0.4,1,0,Anemo,Bow
Venti,2.6,1,0,3,14,0.4,1,0,Anemo,Bow
Venti,2.7,0,1,3,15,0.21428571428571427,1,0,Anemo,Bow
Venti,2.8,0,2,3,16,0.21428571428571427,1,0,Anemo,Bow
Venti,3.0,0,3,3,17,0.21428571428571427,1,0,Anemo,Bow
Venti,3.1,1,0,4,18,0.21428571428571427,1,0,Anemo,Bow
Venti,3.2,0,1,4,19,0.2222222222222222,1,0,Anemo,Bow
Venti,3.3,0,2,4,20,0.2222222222222222,1,0,Anemo,Bow
Venti,3.4,0,3,4,21,0.2222222222222222,1,0,Anemo,Bow
Venti,3.5,0,4,4,22,0.2222222222222222,1,0,Anemo,Bow
Venti,3.6,0,5,4,23,0.2222222222222222,1,0,Anemo,Bow
Venti,3.7,0,6,4,24,0.2222222222222222,1,0,Anemo,Bow
Venti,3.8,0,7,4,25,0.2222222222222222,1,0,Anemo,Bow
Venti,4.0,0,8,4,26,0.2222222222222222,1,0,Anemo,Bow
Venti,4.1,1,0,5,27,0.2222222222222222,1,0,Anemo,Bow
Venti,4.2,0,1,5,28,0.18518518518518517,1,0,Anemo,Bow
Venti,4.3,0,2,5,29,0.18518518518518517,1,0,Anemo,Bow
Venti,4.4,0,3,5,30,0.18518518518518517,1,0,Anemo,Bow
Venti,4.5,0,4,5,31,0.18518518518518517,1,0,Anemo,Bow
Venti,4.6,0,5,5,32,0.18518518518518517,1,0,Anemo,Bow
Venti,4.7,0,6,5,33,0.18518518518518517,1,0,Anemo,Bow
Venti,4.8,0,7,5,34,0.18518518518518517,1,0,Anemo,Bow
Venti,5.0,0,8,5,35,0.18518518518518517,1,0,Anemo,Bow
Venti,5.1,0,9,5,36,0.18518518518518517,1,0,Anemo,Bow
Venti,5.2,0,10,5,37,0.18518518518518517,1,0,Anemo,Bow
Venti,5.3,0,11,5,38,0.18518518518518517,1,0,Anemo,Bow
Venti,5.4,0,12,5,39,0.18518518518518517,1,0,Anemo,Bow
Venti,5.5,1,0,6,40,0.18518518518518517,1,0,Anemo,Bow
Venti,5.6,0,1,6,41,0.15,1,0,Anemo,Bow
Venti,5.7,0,2,6,42,0.15,1,0,Anemo,Bow
Venti,5.8,0,3,6,43,0.15,1,0,Anemo,Bow
Venti,Luna I,0,4,6,44,0.15,1,0,Anemo,Bow
Venti,Luna II,0,5,6,45,0.15,1,0,Anemo,Bow
Venti,Luna III,1,0,7,46,0.15,1,0,Anemo,Bow
Venti,Luna IV,0,1,7,47,0.15217391304347827,1,0,Anemo,Bow
