Name,Appearances
Venti,7
Klee,6
Tartaglia,6
Zhongli,7
Albedo,5
Ganyu,5
Xiao,6
Hu Tao,5
Eula,5
Kaedehara Kazuha,6
Kamisato Ayaka,5
Yoimiya,6
Raiden Shogun,6
Sangonomiya Kokomi,5
Arataki Itto,5
Shenhe,4
Yae Miko,5
Kamisato Ayato,4
Yelan,5
Cyno,4
Nilou,4
Nahida,5
Wanderer,4
Alhaitham,4
Baizhu,4
Lyney,3
Neuvillette,4
Wriothesley,2
Furina,4
Navia,3
Xianyun,2
Chiori,3
Arlecchino,3
Clorinde,2
Sigewinne,2
Emilie,2
Mualani,2
Kinich,2
Xilonen,3
Chasca,2
Mavuika,2
Citlali,2
Varesa,2
Escoffier,2
Skirk,2
Ineffa,2
Lauma,1
Flins,2
Nefer,1
Durin,1
Columbina,1
Zibai,1
Varka,1
