Name,Patch
Venti,1.0
Klee,1.0
Tartaglia,1.1
Zhongli,1.1
Albedo,1.2
Ganyu,1.2
Xiao,1.3
Hu Tao,1.3
Eula,1.5
Kaedehara Kazuha,1.6
Kamisato Ayaka,2.0
Yoimiya,2.0
Raiden Shogun,2.1
Sangonomiya Kokomi,2.1
Arataki Itto,2.3
Shenhe,2.4
Yae Miko,2.5
Kamisato Ayato,2.6
Yelan,2.7
Cyno,3.1
Nilou,3.1
Nahida,3.2
Wanderer,3.3
Alhaitham,3.4
Baizhu,3.6
Lyney,4.0
Neuvillette,4.1
Wriothesley,4.1
Furina,4.2
Navia,4.3
Xianyun,4.4
Chiori,4.5
Arlecchino,4.6
Clorinde,4.7
Sigewinne,4.7
Emilie,4.8
Mualani,5.0
Kinich,5.0
Xilonen,5.1
Chasca,5.2
Mavuika,5.3
Citlali,5.3
Varesa,5.5
Escoffier,5.6
Skirk,5.7
Ineffa,5.8
Lauma,6.0
Flins,6.0
Nefer,6.1
Durin,6.2
Columbina,6.3
Zibai,6.3
Varka,6.4
Linnea,6.5
Nicole,6.6
Lohen,6.6
Sandrone,6.7
Odette,7.0
